@odata.context,value
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'AIR_63', 'IndicatorName': ""Household and ambient air pollution attributable DALYs in children under 5 years ('000)"", 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'AIR_9', 'IndicatorName': 'Ambient air pollution attributable DALYs  (per 100 000 population)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'AMR_GI_001', 'IndicatorName': 'Status of countries enrolled in GLASS', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'AMRGLASS_COORD01', 'IndicatorName': 'Functioning national AMR surveillance plan', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'AIR_62', 'IndicatorName': 'Household and ambient air pollution attributable DALYs (per 100 000 capita, age-standardized)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'AIR_7', 'IndicatorName': 'Ambient air pollution attributable DALYs', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'AMRGLASS_COORD02', 'IndicatorName': 'Establishment of National Coordination Centre (NCC)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'AMRGLASS_COORD04', 'IndicatorName': 'Establishment of national reference laboratory (NRL)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'AMRGLASS_QA01', 'IndicatorName': 'EQA provided to the national reference laboratory (NRL)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'AMRGLASS_SURVL03', 'IndicatorName': 'Number of local clinical laboratories in each country performing AST to support national AMR surveillance sites', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'anc1', 'IndicatorName': 'Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'anc15', 'IndicatorName': 'Antenatal care coverage - at least one visit (in the five years preceding the survey) (%)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'anc4', 'IndicatorName': 'Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'AMRGLASS_QA02', 'IndicatorName': 'EQA provided for bacterial identification and AST', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'anc45', 'IndicatorName': 'Antenatal care coverage - at least four visits (in the five years preceding the survey) (%)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'AMRGLASS_QA04', 'IndicatorName': 'GLASS pathogens testing covered by EQA', 'Language': 'EN'}"
